Longitude,Latitude,Order,YourName,Organization,SiteID,WaterbodyName,State,SiteLocation,SampleYear,SampleMonth,SampleDay,NameOfSamplers,WeatherConditions,SampleLocation,SampleMethod,Depth,SampleHour,SampleMinutes,Filtered,Frozen,Parameter,Value,Units,Rep,Fluorometer,AnalysisYear,AnalysisMonth,AnalysisDay,AnalysisHour,AnalysisMinutes,GPSType,Photos,Flag,Comments,ID,LocID
-73.40783333,43.95166667,448,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,1.92,ug/l,1,Beagle,2014,9,5,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,448,9
-73.40783333,43.95166667,115,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,8,NA,NA,WL1,Integrated,3,NA,NA,FALSE,TRUE,Chlorophyll,0.73,ug/l,1,Beagle,2014,7,9,NA,NA,NA,FALSE,FALSE,,115,9
-73.40783333,43.95166667,302,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,31,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,0.1,ug/l,1,Beagle,2014,7,31,NA,NA,NA,FALSE,FALSE,,302,9
-73.40783333,43.95166667,296,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,31,NA,NA,WL1,Integrated,3,NA,NA,TRUE,FALSE,Phycocyanin,0.1,ug/l,1,Beagle,2014,7,31,NA,NA,NA,FALSE,FALSE,,296,9
-73.40783333,43.95166667,116,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,8,NA,NA,WL1,Integrated,3,NA,NA,FALSE,TRUE,Chlorophyll,0.92,ug/l,2,Beagle,2014,7,9,NA,NA,NA,FALSE,FALSE,,116,9
-73.40783333,43.95166667,416,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,8,18,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Phycocyanin,7,ug/l,3,Beagle,2014,8,18,NA,NA,NA,FALSE,FALSE,,416,9
-73.40783333,43.95166667,409,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,8,18,NA,NA,WL1,Integrated,3,NA,NA,TRUE,FALSE,Phycocyanin,6.5,ug/l,2,Beagle,2014,8,18,NA,NA,NA,FALSE,FALSE,,409,9
-73.40783333,43.95166667,301,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,7,31,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,1.28,ug/l,3,Beagle,2014,7,31,NA,NA,NA,FALSE,FALSE,,301,9
-73.40783333,43.95166667,449,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,1.63,ug/l,2,Beagle,2014,9,5,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,449,9
-73.40783333,43.95166667,461,Angela Shambaugh,VTDEC,4,NA,VT,NA,2014,9,5,NA,NA,WL1,Integrated,3,NA,NA,FALSE,FALSE,Chlorophyll,122,RFU,3,Beagle,2014,9,5,NA,NA,NA,FALSE,TRUE,Uncertain Calibration Status; ,461,9
